Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr),End Time of Year (hr),Type
1D9,2.0,0.131,FAUC,0.28800000000000003,42.6,18.6,42.602183333333336,1.0
1D9,2.0,0.262,FAUC,1.094,42.89,18.89,42.89436666666667,1.0
1D9,2.0,0.524,FAUC,1.3969999999999998,44.29,20.29,44.29873333333333,1.0
1D9,2.0,0.524,FAUC,1.253,44.3,20.299999999999997,44.30873333333333,1.0
1D9,2.0,0.131,FAUC,0.518,45.29,21.29,45.292183333333334,1.0
1D9,2.0,0.655,FAUC,1.198,45.870000000000005,21.870000000000005,45.88091666666667,1.0
1D9,2.0,0.131,FAUC,0.40299999999999997,45.89,21.89,45.892183333333335,1.0
1D9,2.0,0.262,FAUC,0.691,45.9,21.9,45.90436666666667,1.0
1D9,2.0,0.131,FAUC,0.28800000000000003,45.97,21.97,45.972183333333334,1.0
1D9,2.0,8.908999999999999,SHWR,2.0,46.09,22.090000000000003,46.238483333333335,1.0
1D9,2.0,0.39299999999999996,FAUC,0.941,46.3,22.299999999999997,46.306549999999994,1.0
1D9,2.0,0.131,FAUC,0.28800000000000003,46.32,22.32,46.322183333333335,1.0
1E9,3.0,4.585,FAUC,0.9740000000000001,53.11,5.109999999999999,53.186416666666666,1.0
1E9,3.0,4.333,CWSH,1.271,54.67,6.670000000000002,54.74221666666667,1.0
2E6,3.0,0.5999999999998806,SHWR,1.3630000000000002,54.78,6.780000000000001,54.79,3.0
1E9,3.0,0.131,SHWR & FAUC,2.2270000000000003,54.79,6.789999999999999,54.792183333333334,3.0
2E6,3.0,7.068999999999761,SHWR,1.3630000000000002,54.792183333333334,6.792183333333334,54.91,3.0
1E9,3.0,0.262,SHWR & FAUC,2.0250000000000004,54.91,6.909999999999997,54.914366666666666,3.0
2E6,3.0,2.138000000000204,SHWR,1.3630000000000002,54.914366666666666,6.914366666666666,54.95,3.0
1E9,3.0,2.0,SHWR & CWSH,2.2220000000000004,54.95,6.950000000000003,54.983333333333334,3.0
2E6,3.0,1.5999999999998238,SHWR,1.3630000000000002,54.983333333333334,6.983333333333334,55.01,3.0
1E9,3.0,0.524,SHWR & FAUC,2.4430000000000005,55.01,7.009999999999998,55.01873333333333,3.0
2E6,3.0,2.47600000000034,SHWR,1.3630000000000002,55.01873333333333,7.01873333333333,55.06,3.0
1E9,3.0,4.5,SHWR & CWSH,2.569,55.06,7.060000000000002,55.135000000000005,3.0
