Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr)
1D3,5.0,0.155,FAUC,0.8059999999999999,109.0,13.0
1D3,5.0,0.155,FAUC,0.28800000000000003,109.07,13.07
1D3,5.0,0.155,FAUC,0.28800000000000003,109.09,13.09
1D3,5.0,0.155,FAUC,0.461,109.1,13.1
1D3,5.0,0.155,FAUC,0.28800000000000003,109.14,13.14
1D3,5.0,0.155,FAUC,0.28800000000000003,109.18,13.18
1D3,5.0,0.31,FAUC,0.28800000000000003,109.19,13.19
1D3,5.0,0.155,FAUC,0.28800000000000003,109.2,13.2
1D3,5.0,0.31,FAUC,0.28800000000000003,109.25,13.25
1D3,5.0,0.62,FAUC,1.368,110.23,14.23
1D3,5.0,4.833,CWSH,1.3419999999999999,110.94,14.94
1D3,5.0,0.155,FAUC,0.34600000000000003,111.15,15.15
1D3,5.0,0.155,FAUC,0.5760000000000001,111.17,15.17
1D3,5.0,0.155,FAUC,0.28800000000000003,111.18,15.18
1D3,5.0,0.155,FAUC,0.28800000000000003,111.21000000000001,15.21
1D3,5.0,0.31,FAUC,0.317,111.24,15.24
1D3,5.0,3.5,CWSH,1.413,111.55,15.55
1D3,5.0,0.155,FAUC,0.40299999999999997,111.68,15.68
1D3,5.0,0.5,CWSH,1.23,111.71000000000001,15.71
1D3,5.0,0.5,CWSH,1.203,111.72,15.72
1D3,5.0,0.155,FAUC,0.922,111.74,15.74
1D3,5.0,0.31,FAUC,0.49,111.78999999999999,15.79
1D3,5.0,0.155,FAUC,0.28800000000000003,111.9,15.9
1D3,5.0,0.31,FAUC,1.296,115.1,19.1
1D3,5.0,0.31,FAUC,0.34600000000000003,117.51,21.51
1D3,5.0,0.155,FAUC,0.28800000000000003,117.55,21.55
1D3,5.0,0.155,FAUC,0.40299999999999997,117.57,21.57
1D3,5.0,0.155,FAUC,0.518,117.59,21.59
1D3,5.0,0.155,FAUC,0.28800000000000003,117.66,21.66
1D3,5.0,0.155,FAUC,0.28800000000000003,117.67,21.67
1D0,6.0,0.124,FAUC,0.8059999999999999,125.98,5.98
1D0,6.0,0.622,FAUC,1.083,127.15,7.15
1D0,6.0,0.124,FAUC,0.634,128.15,8.15
1D0,6.0,0.124,FAUC,0.34600000000000003,128.31,8.31
1D0,6.0,0.124,FAUC,0.7490000000000001,128.46,8.46
1D0,6.0,0.124,FAUC,0.7490000000000001,136.68,16.68
1D0,6.0,0.124,FAUC,0.461,137.66,17.66
1D0,6.0,0.124,FAUC,1.1520000000000001,140.36,20.36
1D0,6.0,0.124,FAUC,0.634,140.94,20.94
1D0,6.0,0.124,FAUC,0.461,141.23,21.23
1D0,6.0,0.373,FAUC,0.672,141.64,21.64
1D0,6.0,0.124,FAUC,0.8059999999999999,141.94,21.94
1D0,6.0,0.124,FAUC,0.518,142.72,22.72
1D0,6.0,0.746,FAUC,1.018,142.75,22.75
1D0,6.0,0.124,FAUC,0.518,142.77,22.77
1D0,6.0,0.124,FAUC,0.634,142.78,22.78
1D0,6.0,0.249,FAUC,0.605,142.81,22.81
1D0,6.0,0.124,FAUC,0.34600000000000003,142.98,22.98
1D0,6.0,0.49700000000000005,FAUC,0.907,143.07,23.07
2D4,7.0,4.476,SHWR,2.0,152.47,8.47
2D4,7.0,0.249,FAUC,0.518,152.78,8.78
2D4,7.0,0.124,FAUC,0.28800000000000003,153.27,9.27
2D4,7.0,1.6159999999999999,FAUC,1.068,153.46,9.46
2D4,7.0,0.124,FAUC,0.691,153.94,9.94
2D4,7.0,0.124,FAUC,0.5760000000000001,153.95,9.95
2D4,7.0,1.492,FAUC,1.7519999999999998,153.96,9.96
2D4,7.0,0.373,FAUC,1.1520000000000001,154.0,10.0
2D4,7.0,0.249,FAUC,0.691,157.27,13.27
2D4,7.0,0.124,FAUC,0.8059999999999999,157.28,13.28
2D4,7.0,4.333,CWSH,1.5119999999999998,157.38,13.38
2D4,7.0,4.333,CWSH,1.28,157.69,13.69
2D4,7.0,0.124,FAUC,1.094,157.72,13.72
2D4,7.0,0.124,FAUC,1.037,157.73,13.73
2D4,7.0,0.124,FAUC,1.1520000000000001,157.74,13.74
2D4,7.0,0.124,FAUC,1.094,157.74,13.74
2D4,7.0,0.124,FAUC,1.037,157.75,13.75
2D4,7.0,0.124,FAUC,1.1520000000000001,157.75,13.75
2D4,7.0,0.16699999999999998,CWSH,1.5030000000000001,157.86,13.86
2D4,7.0,0.833,CWSH,0.36,157.87,13.87
2D4,7.0,0.249,FAUC,1.037,158.1,14.1
2D4,7.0,0.373,FAUC,1.306,160.43,16.43
2D4,7.0,1.7409999999999999,FAUC,1.757,160.93,16.93
2D4,7.0,0.622,FAUC,0.392,161.88,17.88
2D4,7.0,0.87,FAUC,1.761,162.17000000000002,18.17
2D4,7.0,0.124,FAUC,0.40299999999999997,162.21,18.21
2D4,7.0,0.124,FAUC,1.037,162.22,18.22
2D4,7.0,0.833,DWSH,0.7709999999999999,162.23,18.23
2D4,7.0,0.5,DWSH,0.794,162.32,18.32
2D4,7.0,0.249,FAUC,1.0659999999999998,162.35,18.35
2D4,7.0,1.3330000000000002,DWSH,0.721,162.37,18.37
2D4,7.0,1.3330000000000002,DWSH,0.6579999999999999,162.49,18.49
2D4,7.0,0.833,DWSH,0.696,162.94,18.94
2D4,7.0,1.0,DWSH,0.778,163.0,19.0
2D4,7.0,1.0,DWSH,0.763,163.06,19.06
2D4,7.0,0.249,FAUC,1.21,163.21,19.21
2D4,7.0,0.622,FAUC,2.592,163.23,19.23
2D4,7.0,0.249,FAUC,1.094,163.3,19.3
2D4,7.0,0.622,FAUC,0.541,163.32999999999998,19.33
1D2,8.0,0.131,FAUC,0.518,168.85,0.85
1D2,8.0,0.131,FAUC,0.691,168.87,0.87
1D2,8.0,0.131,FAUC,0.5760000000000001,169.15,1.15
1D2,8.0,0.131,FAUC,0.518,176.83,8.83
1D2,8.0,4.0,CWSH,1.03,176.9,8.9
1D2,8.0,0.131,FAUC,0.518,177.3,9.3
1D2,8.0,0.131,FAUC,0.518,177.34,9.34
1D2,8.0,3.0,CWSH,1.3519999999999999,177.64,9.64
1D2,8.0,0.16699999999999998,CWSH,0.922,177.7,9.7
1D2,8.0,0.16699999999999998,CWSH,1.4240000000000002,177.72,9.72
1D2,8.0,3.0,CWSH,1.3030000000000002,177.88,9.88
1D2,8.0,0.16699999999999998,CWSH,1.047,177.93,9.93
1D2,8.0,0.524,FAUC,1.411,181.4,13.4
1D2,8.0,0.131,FAUC,0.8640000000000001,181.42,13.42
1D2,8.0,0.131,FAUC,0.691,181.43,13.43
1D2,8.0,0.262,FAUC,1.094,181.51,13.51
1D2,8.0,0.524,FAUC,1.109,181.53,13.53
1D2,8.0,0.131,FAUC,0.518,185.62,17.62
1D2,8.0,0.131,FAUC,0.518,187.24,19.24
1D2,8.0,0.131,FAUC,0.691,187.39,19.39
1D2,8.0,0.131,FAUC,0.518,188.93,20.93
1D2,8.0,0.7859999999999999,FAUC,0.442,191.1,23.1
1D2,8.0,0.262,FAUC,1.382,191.5,23.5
3D8,9.0,0.124,FAUC,1.1520000000000001,192.22,0.22
3D8,9.0,0.124,FAUC,1.1520000000000001,192.43,0.43
3D8,9.0,0.249,FAUC,0.40299999999999997,193.12,1.12
3D8,9.0,0.124,FAUC,1.21,194.14,2.14
3D8,9.0,0.249,FAUC,0.95,198.53,6.53
3D8,9.0,0.373,FAUC,0.7490000000000001,199.67,7.67
3D8,9.0,0.995,FAUC,2.066,200.0,8.0
3D8,9.0,0.87,FAUC,2.633,200.07,8.07
3D8,9.0,0.995,FAUC,1.8359999999999999,200.33,8.33
3D8,9.0,2.86,SHWR,2.0,200.36,8.36
3D8,9.0,14.174000000000001,SHWR,1.932,200.62,8.62
3D8,9.0,0.124,FAUC,1.1520000000000001,200.9,8.9
3D8,9.0,0.124,FAUC,0.7490000000000001,201.04,9.04
3D8,9.0,0.373,FAUC,0.614,201.09,9.09
3D8,9.0,0.622,FAUC,1.129,201.12,9.12
3D8,9.0,0.249,FAUC,0.95,201.2,9.2
3D8,9.0,0.87,FAUC,0.856,201.26,9.26
3D8,9.0,0.622,FAUC,1.21,201.31,9.31
3D8,9.0,0.49700000000000005,FAUC,1.123,201.33,9.33
3D8,9.0,0.249,FAUC,0.95,201.9,9.9
3D8,9.0,0.249,FAUC,1.123,201.97,9.97
3D8,9.0,0.249,FAUC,0.547,203.17,11.17
3D8,9.0,0.746,FAUC,1.008,203.34,11.34
3D8,9.0,0.373,FAUC,1.632,203.42,11.42
3D8,9.0,0.373,FAUC,0.768,203.78,11.78
3D8,9.0,0.249,FAUC,0.95,204.22,12.22
3D8,9.0,0.622,FAUC,1.2790000000000001,204.24,12.24
3D8,9.0,0.622,FAUC,1.5090000000000001,204.48,12.48
3D8,9.0,0.249,FAUC,0.7490000000000001,204.56,12.56
3D8,9.0,0.249,FAUC,1.325,204.57,12.57
3D8,9.0,0.124,FAUC,0.7490000000000001,204.61,12.61
3D8,9.0,0.746,FAUC,1.507,204.65,12.65
3D8,9.0,0.622,FAUC,1.44,204.69,12.69
3D8,9.0,0.124,FAUC,1.1520000000000001,205.26,13.26
3D8,9.0,0.249,FAUC,0.7490000000000001,207.6,15.6
3D8,9.0,0.373,FAUC,1.382,207.84,15.84
3D8,9.0,0.249,FAUC,0.95,207.92,15.92
3D8,9.0,0.124,FAUC,1.1520000000000001,208.38,16.38
