Day,Fixture,Start time (hr),Duration (min),Flow Rate (gpm),Volume (gal),,,Weekday,Weekend,Holiday,All
2.00E+03,CWSH,18.56,2,1.259,2.518,,,,,,
2.00E+03,CWSH,18.62,2.667,1.296,3.456432,,,,,,
2.00E+03,CWSH,19.99,1.333,2.454,3.271182,,,,,,
2.00E+03,CWSH,20.23,0.833,0.907,0.755531,,,,,,
2.00E+03,CWSH,20.27,2.5,1.108,2.77,,,,,,
2.00E+03,CWSH,20.39,2.667,1.083,2.888361,,,,,,
2.00E+03,CWSH,20.57,2.667,1.112,2.965704,,,,,,
2.00E+03,DWSH,17.54,2.167,1.176,2.548392,,,,,,
2.00E+03,DWSH,17.94,2,1.226,2.452,,,,,,
2.00E+03,FAUC,7.18,0.142,0.922,0.130924,,,,,,
2.00E+03,FAUC,7.97,0.427,0.902,0.385154,,,,,,
2.00E+03,FAUC,7.99,0.142,0.691,0.098122,,,,,,
2.00E+03,FAUC,8.13,0.285,0.461,0.131385,,,,,,
2.00E+03,FAUC,8.28,0.285,1.555,0.443175,,,,,,
2.00E+03,FAUC,8.3,0.142,1.094,0.155348,,,,,,
2.00E+03,FAUC,8.34,0.142,0.806,0.114452,,,,,,
2.00E+03,FAUC,8.4,0.142,0.576,0.081792,,,,,,
2.00E+03,FAUC,8.75,0.142,0.576,0.081792,,,,,,
2.00E+03,FAUC,8.91,0.285,0.605,0.172425,,,,,,
2.00E+03,FAUC,8.93,0.569,1.123,0.638987,,,,,,
2.00E+03,FAUC,9.09,0.285,0.518,0.14763,,,,,,
2.00E+03,FAUC,9.1,0.142,0.806,0.114452,,,,,,
2.00E+03,FAUC,9.16,0.285,1.037,0.295545,,,,,,
2.00E+03,FAUC,9.18,0.285,0.461,0.131385,,,,,,
2.00E+03,FAUC,10.56,0.142,0.691,0.098122,,,,,,
2.00E+03,FAUC,10.75,0.285,1.584,0.45144,,,,,,
2.00E+03,FAUC,10.78,0.285,1.152,0.32832,,,,,,
2.00E+03,FAUC,11.55,0.285,0.49,0.13965,,,,,,
2.00E+03,FAUC,12.79,0.142,0.806,0.114452,,,,,,
2.00E+03,FAUC,12.9,0.285,0.95,0.27075,,,,,,
2.00E+03,FAUC,12.91,0.142,0.806,0.114452,,,,,,
2.00E+03,FAUC,13.27,0.285,0.95,0.27075,,,,,,
2.00E+03,FAUC,13.28,1.566,0.78,1.22148,,,,,,
2.00E+03,FAUC,13.33,0.142,0.518,0.073556,,,,,,
2.00E+03,FAUC,13.36,0.142,0.922,0.130924,,,,,,
2.00E+03,FAUC,13.41,0.285,0.95,0.27075,,,,,,
2.00E+03,FAUC,13.44,0.569,1.397,0.794893,,,,,,
2.00E+03,FAUC,14.08,0.427,0.672,0.286944,,,,,,
2.00E+03,FAUC,14.24,0.285,1.094,0.31179,,,,,,
2.00E+03,FAUC,14.3,0.142,0.576,0.081792,,,,,,
2.00E+03,FAUC,14.37,0.285,0.461,0.131385,,,,,,
2.00E+03,FAUC,14.56,0.142,0.691,0.098122,,,,,,
2.00E+03,FAUC,14.58,0.427,1.21,0.51667,,,,,,
2.00E+03,FAUC,14.68,0.142,0.922,0.130924,,,,,,
2.00E+03,FAUC,14.78,0.142,1.21,0.17182,,,,,,
2.00E+03,FAUC,15.09,0.285,0.547,0.155895,,,,,,
2.00E+03,FAUC,15.11,0.427,0.71,0.30317,,,,,,
2.00E+03,FAUC,15.12,0.285,0.547,0.155895,,,,,,
2.00E+03,FAUC,15.16,0.285,0.518,0.14763,,,,,,
2.00E+03,FAUC,15.17,0.142,0.691,0.098122,,,,,,
2.00E+03,FAUC,15.23,0.285,0.691,0.196935,,,,,,
2.00E+03,FAUC,15.24,0.712,1.521,1.082952,,,,,,
2.00E+03,FAUC,15.35,0.142,0.576,0.081792,,,,,,
2.00E+03,FAUC,15.37,0.142,0.518,0.073556,,,,,,
2.00E+03,FAUC,15.38,0.569,0.677,0.385213,,,,,,
2.00E+03,FAUC,15.52,0.142,1.498,0.212716,,,,,,
2.00E+03,FAUC,15.91,0.142,0.691,0.098122,,,,,,
2.00E+03,FAUC,16.52,0.427,0.806,0.344162,,,,,,
2.00E+03,FAUC,16.62,0.142,0.576,0.081792,,,,,,
2.00E+03,FAUC,17.37,0.569,1.066,0.606554,,,,,,
2.00E+03,FAUC,17.4,0.142,0.518,0.073556,,,,,,
2.00E+03,FAUC,17.46,1.139,0.684,0.779076,,,,,,
2.00E+03,FAUC,17.49,0.285,0.749,0.213465,,,,,,
2.00E+03,FAUC,17.51,0.285,0.346,0.09861,,,,,,
2.00E+03,FAUC,17.53,0.569,1.152,0.655488,,,,,,
2.00E+03,FAUC,17.78,0.142,0.806,0.114452,,,,,,
2.00E+03,FAUC,17.79,0.142,1.382,0.196244,,,,,,
2.00E+03,FAUC,17.8,0.427,0.806,0.344162,,,,,,
2.00E+03,FAUC,18.34,0.285,1.152,0.32832,,,,,,
2.00E+03,FAUC,18.4,0.285,1.008,0.28728,,,,,,
2.00E+03,FAUC,18.46,0.712,0.346,0.246352,,,,,,
2.00E+03,FAUC,20.06,0.427,0.634,0.270718,,,,,,
2.00E+03,FAUC,20.07,0.142,0.518,0.073556,,,,,,
2.00E+03,FAUC,20.19,0.285,0.547,0.155895,,,,,,
2.00E+03,FAUC,21.02,0.142,0.691,0.098122,,,,,,
2.00E+04,DWSH,11.75,0.833,0.478,0.398174,,,,,,
2.00E+04,DWSH,11.77,1.667,0.597,0.995199,,,,,,
2.00E+04,DWSH,11.88,1.667,0.569,0.948523,,,,,,
2.00E+04,DWSH,12.46,1.667,0.559,0.931853,,,,,,
2.00E+04,DWSH,12.54,1.5,0.578,0.867,,,,,,
2.00E+04,DWSH,12.62,1.5,0.574,0.861,,,,,,
2.00E+04,FAUC,0.02,0.497,0.634,0.315098,,,,,,
2.00E+04,FAUC,0.15,0.497,0.864,0.429408,,,,,,
2.00E+04,FAUC,0.18,0.497,0.72,0.35784,,,,,,
2.00E+04,FAUC,7.44,0.373,0.346,0.129058,,,,,,
2.00E+04,FAUC,9.65,0.373,0.768,0.286464,,,,,,
2.00E+04,FAUC,9.67,0.497,0.878,0.436366,,,,,,
2.00E+04,FAUC,9.71,1.492,0.979,1.460668,,,,,,
2.00E+04,FAUC,9.75,1.119,0.582,0.651258,,,,,,
2.00E+04,FAUC,9.81,0.995,0.85,0.84575,,,,,,
2.00E+04,FAUC,9.86,0.497,0.734,0.364798,,,,,,
2.00E+04,FAUC,9.87,0.995,0.806,0.80197,,,,,,
2.00E+04,FAUC,9.9,1.119,0.909,1.017171,,,,,,
2.00E+04,FAUC,10.04,1.865,1.106,2.06269,,,,,,
2.00E+04,FAUC,11.47,0.249,0.835,0.207915,,,,,,
2.00E+04,FAUC,11.94,0.622,0.484,0.301048,,,,,,
2.00E+04,FAUC,20.07,1.119,0.922,1.031718,,,,,,
2.00E+04,FAUC,20.13,0.373,0.864,0.322272,,,,,,
2.00E+04,FAUC,20.14,0.249,0.576,0.143424,,,,,,
2.00E+04,FAUC,20.16,0.373,0.71,0.26483,,,,,,
2.00E+04,FAUC,22.95,1.741,0.909,1.582569,,,,,,
2.00E+04,FAUC,23.01,0.373,0.538,0.200674,,,,,,
2.00E+04,FAUC,23.07,1.368,1.529,2.091672,,,,,,
2.00E+04,FAUC,23.08,0.497,1.642,0.816074,,,,,,
2.00E+04,FAUC,23.15,0.249,0.662,0.164838,,,,,,
2.00E+04,SHWR,9.68,4.476,1.975,8.8401,,,,,,
2.00E+04,SHWR,11.81,2.86,2,5.72,,,,,,
2.00E+05,CWSH,10.84,3.667,1.404,5.148468,,,,,,
2.00E+05,CWSH,11,5.333,1.407,7.503531,,,,,,
2.00E+05,CWSH,12,4.167,1.279,5.329593,,,,,,
2.00E+05,CWSH,12.16,5.833,1.255,7.320415,,,,,,
2.00E+05,FAUC,7.31,0.155,0.518,0.08029,,,,,,
2.00E+05,FAUC,7.43,1.239,1.08,1.33812,,,,,,
2.00E+05,FAUC,7.47,0.31,0.691,0.21421,,,,,,
2.00E+05,FAUC,7.49,0.31,0.72,0.2232,,,,,,
2.00E+05,FAUC,7.5,0.155,1.44,0.2232,,,,,,
2.00E+05,FAUC,7.55,0.31,0.806,0.24986,,,,,,
2.00E+05,FAUC,7.66,0.31,0.72,0.2232,,,,,,
2.00E+05,FAUC,10.02,0.155,0.288,0.04464,,,,,,
2.00E+05,FAUC,10.18,0.774,1.313,1.016262,,,,,,
2.00E+05,FAUC,10.2,0.155,1.67,0.25885,,,,,,
2.00E+05,FAUC,10.26,0.774,1.244,0.962856,,,,,,
2.00E+05,FAUC,10.3,0.31,1.526,0.47306,,,,,,
2.00E+05,FAUC,10.36,0.155,0.576,0.08928,,,,,,
2.00E+05,FAUC,10.37,0.31,1.094,0.33914,,,,,,
2.00E+05,FAUC,10.75,1.084,1.498,1.623832,,,,,,
2.00E+05,FAUC,10.79,0.31,0.432,0.13392,,,,,,
2.00E+05,FAUC,11.48,0.155,0.518,0.08029,,,,,,
2.00E+05,FAUC,12.19,1.239,0.655,0.811545,,,,,,
2.00E+05,FAUC,12.22,0.31,0.259,0.08029,,,,,,
2.00E+05,FAUC,12.59,0.155,0.288,0.04464,,,,,,
2.00E+05,FAUC,13.21,0.31,0.749,0.23219,,,,,,
2.00E+05,FAUC,13.22,0.31,1.152,0.35712,,,,,,
2.00E+05,FAUC,13.25,3.717,1.661,6.173937,,,,,,
2.00E+05,FAUC,13.52,0.155,0.288,0.04464,,,,,,
2.00E+05,FAUC,13.87,0.31,0.547,0.16957,,,,,,
2.00E+05,FAUC,13.89,0.31,0.634,0.19654,,,,,,
2.00E+05,FAUC,14.05,0.465,0.922,0.42873,,,,,,
2.00E+05,FAUC,14.08,0.31,1.584,0.49104,,,,,,
2.00E+05,FAUC,14.09,0.62,1.512,0.93744,,,,,,
2.00E+05,FAUC,14.16,0.155,0.749,0.116095,,,,,,
2.00E+05,FAUC,14.68,0.155,0.576,0.08928,,,,,,
2.00E+05,FAUC,16.07,0.155,0.346,0.05363,,,,,,
2.00E+05,FAUC,16.07,4.802,0.058,0.278516,,,,,,
2.00E+05,FAUC,16.16,0.155,0.518,0.08029,,,,,,
2.00E+05,FAUC,16.19,0.929,0.816,0.758064,,,,,,
2.00E+05,FAUC,16.22,0.155,0.346,0.05363,,,,,,
2.00E+05,FAUC,16.22,0.465,0.806,0.37479,,,,,,
2.00E+05,FAUC,16.72,1.394,1.062,1.480428,,,,,,
2.00E+05,FAUC,17.32,0.155,0.749,0.116095,,,,,,
2.00E+05,FAUC,19.17,0.465,1.248,0.58032,,,,,,
2.00E+05,FAUC,19.22,0.62,1.152,0.71424,,,,,,
2.00E+05,FAUC,19.25,0.31,1.584,0.49104,,,,,,
2.00E+05,FAUC,19.26,1.394,1.107,1.543158,,,,,,
2.00E+05,FAUC,19.31,0.62,1.152,0.71424,,,,,,
2.00E+05,FAUC,19.35,0.31,0.49,0.1519,,,,,,
2.00E+05,FAUC,19.42,0.155,0.346,0.05363,,,,,,
2.00E+05,FAUC,19.5,0.155,0.749,0.116095,,,,,,
2.00E+05,FAUC,19.6,0.465,1.21,0.56265,,,,,,
2.00E+05,FAUC,19.84,0.155,0.864,0.13392,,,,,,
2.00E+05,FAUC,20.44,0.929,1.478,1.373062,,,,,,
2.00E+05,FAUC,20.47,0.31,1.757,0.54467,,,,,,
2.00E+05,FAUC,20.48,0.465,1.248,0.58032,,,,,,
2.00E+05,FAUC,20.5,5.886,1.466,8.628876,,,,,,
2.00E+05,FAUC,20.6,0.31,0.979,0.30349,,,,,,
2.00E+05,FAUC,20.61,1.084,0.848,0.919232,,,,,,
2.00E+05,FAUC,20.73,0.31,0.662,0.20522,,,,,,
2.00E+05,FAUC,20.74,0.155,0.749,0.116095,,,,,,
2.00E+05,FAUC,20.76,0.155,0.518,0.08029,,,,,,
2.00E+05,FAUC,20.78,0.31,1.469,0.45539,,,,,,
2.00E+05,FAUC,21.51,0.465,1.094,0.50871,,,,,,
2.00E+05,FAUC,22.96,1.394,1.011,1.409334,,,,,,
2.00E+05,FAUC,22.99,0.31,0.72,0.2232,,,,,,
2.00E+05,FAUC,23,0.31,0.605,0.18755,,,,,,
2.00E+05,FAUC,23.02,0.31,1.152,0.35712,,,,,,
2.00E+06,FAUC,7.95,0.142,0.403,0.057226,,,,,,
2.00E+06,FAUC,8.02,0.285,0.461,0.131385,,,,,,
2.00E+06,FAUC,8.13,0.142,0.288,0.040896,,,,,,
2.00E+06,FAUC,8.25,0.285,0.173,0.049305,,,,,,
2.00E+06,FAUC,8.26,0.427,0.749,0.319823,,,,,,
2.00E+06,FAUC,8.28,0.142,0.806,0.114452,,,,,,
2.00E+06,FAUC,8.4,0.285,0.259,0.073815,,,,,,
2.00E+06,FAUC,8.44,0.854,0.586,0.500444,,,,,,
2.00E+06,FAUC,8.47,0.142,0.346,0.049132,,,,,,
2.00E+06,FAUC,11.27,0.427,0.403,0.172081,,,,,,
2.00E+06,FAUC,11.47,0.285,0.288,0.08208,,,,,,
2.00E+06,FAUC,11.49,0.285,0.691,0.196935,,,,,,
2.00E+06,FAUC,11.51,0.569,0.763,0.434147,,,,,,
2.00E+06,FAUC,11.54,2.42,0.813,1.96746,,,,,,
2.00E+06,FAUC,11.66,0.142,0.461,0.065462,,,,,,
2.00E+06,FAUC,11.76,0.285,0.403,0.114855,,,,,,
2.00E+06,FAUC,14.92,0.427,0.192,0.081984,,,,,,
2.00E+06,FAUC,17.98,0.712,0.449,0.319688,,,,,,
2.00E+06,FAUC,20.38,0.142,0.288,0.040896,,,,,,
2.00E+06,SHWR,6.78,21.356,1.363,29.108228,,,,,,
2.00E+06,SHWR,18.46,7.546,1.332,10.051272,,,,,,
2.00E+07,CWSH,9.84,3.667,1.54,5.64718,,,,,,
2.00E+07,CWSH,10.1,1.167,1.398,1.631466,,,,,,
2.00E+07,CWSH,10.13,3.5,1.535,5.3725,,,,,,
2.00E+07,CWSH,10.38,3.667,1.554,5.698518,,,,,,
2.00E+07,CWSH,10.63,1.167,1.372,1.601124,,,,,,
2.00E+07,CWSH,10.67,3.5,1.529,5.3515,,,,,,
2.00E+07,FAUC,5.93,0.427,1.171,0.500017,,,,,,
2.00E+07,FAUC,5.94,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,7.9,0.285,1.21,0.34485,,,,,,
2.00E+07,FAUC,8.01,0.285,0.173,0.049305,,,,,,
2.00E+07,FAUC,8.02,0.142,0.346,0.049132,,,,,,
2.00E+07,FAUC,8.43,0.285,0.662,0.18867,,,,,,
2.00E+07,FAUC,8.44,0.142,0.576,0.081792,,,,,,
2.00E+07,FAUC,8.44,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,8.72,0.427,0.768,0.327936,,,,,,
2.00E+07,FAUC,9.12,0.142,0.518,0.073556,,,,,,
2.00E+07,FAUC,9.15,0.285,3.456,0.98496,,,,,,
2.00E+07,FAUC,9.16,1.139,1.037,1.181143,,,,,,
2.00E+07,FAUC,9.17,0.712,1.187,0.845144,,,,,,
2.00E+07,FAUC,9.19,0.997,1.333,1.329001,,,,,,
2.00E+07,FAUC,9.31,0.142,0.749,0.106358,,,,,,
2.00E+07,FAUC,9.31,0.997,1.012,1.008964,,,,,,
2.00E+07,FAUC,9.32,0.569,2.002,1.139138,,,,,,
2.00E+07,FAUC,9.35,0.142,1.325,0.18815,,,,,,
2.00E+07,FAUC,9.36,0.285,1.584,0.45144,,,,,,
2.00E+07,FAUC,9.36,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,9.62,0.569,2.016,1.147104,,,,,,
2.00E+07,FAUC,9.66,1.708,1.694,2.893352,,,,,,
2.00E+07,FAUC,9.74,0.142,0.576,0.081792,,,,,,
2.00E+07,FAUC,9.79,0.285,0.49,0.13965,,,,,,
2.00E+07,FAUC,9.97,0.142,0.518,0.073556,,,,,,
2.00E+07,FAUC,10.49,2.705,0.03,0.08115,,,,,,
2.00E+07,FAUC,11.03,0.142,0.634,0.090028,,,,,,
2.00E+07,FAUC,11.03,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,11.06,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,11.87,1.993,1.205,2.401565,,,,,,
2.00E+07,FAUC,11.92,0.142,0.518,0.073556,,,,,,
2.00E+07,FAUC,12.21,0.142,0.576,0.081792,,,,,,
2.00E+07,FAUC,12.37,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,12.49,0.142,0.576,0.081792,,,,,,
2.00E+07,FAUC,12.49,1.139,1.159,1.320101,,,,,,
2.00E+07,FAUC,12.55,0.427,0.653,0.278831,,,,,,
2.00E+07,FAUC,12.57,0.285,1.411,0.402135,,,,,,
2.00E+07,FAUC,12.65,0.142,1.21,0.17182,,,,,,
2.00E+07,FAUC,14.76,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,15.69,0.142,0.749,0.106358,,,,,,
2.00E+07,FAUC,16.32,0.427,0.173,0.073871,,,,,,
2.00E+07,FAUC,16.57,0.142,1.67,0.23714,,,,,,
2.00E+07,FAUC,16.59,0.285,0.922,0.26277,,,,,,
2.00E+07,FAUC,17.2,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,17.2,0.285,1.094,0.31179,,,,,,
2.00E+07,FAUC,17.21,0.285,0.23,0.06555,,,,,,
2.00E+07,FAUC,17.24,0.712,1.555,1.10716,,,,,,
2.00E+07,FAUC,17.3,0.427,0.768,0.327936,,,,,,
2.00E+07,FAUC,17.33,0.285,1.699,0.484215,,,,,,
2.00E+07,FAUC,17.39,0.142,0.576,0.081792,,,,,,
2.00E+07,FAUC,17.55,0.142,0.518,0.073556,,,,,,
2.00E+07,FAUC,17.63,0.142,0.979,0.139018,,,,,,
2.00E+07,FAUC,17.89,0.285,1.584,0.45144,,,,,,
2.00E+07,FAUC,17.91,0.142,0.518,0.073556,,,,,,
2.00E+07,FAUC,18,3.844,0.873,3.355812,,,,,,
2.00E+07,FAUC,18.1,0.285,0.547,0.155895,,,,,,
2.00E+07,FAUC,18.45,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,18.45,0.285,0.72,0.2052,,,,,,
2.00E+07,FAUC,18.52,0.285,1.037,0.295545,,,,,,
2.00E+07,FAUC,18.69,4.983,0.021,0.104643,,,,,,
2.00E+07,FAUC,18.78,0.285,0.922,0.26277,,,,,,
2.00E+07,FAUC,18.79,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,18.8,0.285,0.173,0.049305,,,,,,
2.00E+07,FAUC,18.83,0.285,0.317,0.090345,,,,,,
2.00E+07,FAUC,18.83,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,18.84,0.285,0.922,0.26277,,,,,,
2.00E+07,FAUC,18.86,0.142,0.23,0.03266,,,,,,
2.00E+07,FAUC,18.87,0.285,0.605,0.172425,,,,,,
2.00E+07,FAUC,18.87,0.285,0.173,0.049305,,,,,,
2.00E+07,FAUC,18.92,0.285,0.72,0.2052,,,,,,
2.00E+07,FAUC,19.09,0.285,0.662,0.18867,,,,,,
2.00E+07,FAUC,19.16,2.42,0.058,0.14036,,,,,,
2.00E+07,FAUC,19.67,0.285,0.173,0.049305,,,,,,
2.00E+07,FAUC,19.88,0.142,0.346,0.049132,,,,,,
2.00E+07,FAUC,20.93,0.142,0.518,0.073556,,,,,,
2.00E+07,SHWR,7.6,8.827,1.293,11.413311,,,,,,
2.00E+07,SHWR,17.01,8.542,1.229,10.498118,,,,,,
2.00E+08,CWSH,10.88,3.333,1.836,6.119388,,,,,,
2.00E+08,CWSH,11.23,3.333,1.811,6.036063,,,,,,
2.00E+08,CWSH,11.38,0.333,1.472,0.490176,,,,,,
2.00E+08,FAUC,1.32,0.131,0.634,0.083054,,,,,,
2.00E+08,FAUC,7.25,0.131,0.518,0.067858,,,,,,
2.00E+08,FAUC,7.6,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,7.61,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,8.7,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,8.71,0.524,0.994,0.520856,,,,,,
2.00E+08,FAUC,8.76,0.262,0.634,0.166108,,,,,,
2.00E+08,FAUC,8.89,0.131,0.288,0.037728,,,,,,
2.00E+08,FAUC,8.98,0.262,1.094,0.286628,,,,,,
2.00E+08,FAUC,9.12,0.262,1.44,0.37728,,,,,,
2.00E+08,FAUC,9.49,0.393,0.595,0.233835,,,,,,
2.00E+08,FAUC,9.58,2.882,1.487,4.285534,,,,,,
2.00E+08,FAUC,9.73,0.131,0.864,0.113184,,,,,,
2.00E+08,FAUC,9.82,0.262,0.634,0.166108,,,,,,
2.00E+08,FAUC,10.22,0.524,0.302,0.158248,,,,,,
2.00E+08,FAUC,10.26,0.131,1.382,0.181042,,,,,,
2.00E+08,FAUC,10.37,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,10.48,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,10.6,0.262,1.728,0.452736,,,,,,
2.00E+08,FAUC,10.85,0.262,1.267,0.331954,,,,,,
2.00E+08,FAUC,10.93,0.131,2.189,0.286759,,,,,,
2.00E+08,FAUC,11.09,0.131,0.979,0.128249,,,,,,
2.00E+08,FAUC,11.1,0.131,1.728,0.226368,,,,,,
2.00E+08,FAUC,11.15,0.131,0.576,0.075456,,,,,,
2.00E+08,FAUC,11.17,0.131,0.576,0.075456,,,,,,
2.00E+08,FAUC,11.26,0.262,1.498,0.392476,,,,,,
2.00E+08,FAUC,11.29,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,11.43,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,11.72,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,11.91,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,12.53,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,12.66,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,12.76,0.262,0.72,0.18864,,,,,,
2.00E+08,FAUC,12.96,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,13.08,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,13.11,0.131,0.634,0.083054,,,,,,
2.00E+08,FAUC,13.21,1.703,2.401,4.088903,,,,,,
2.00E+08,FAUC,13.45,0.262,1.267,0.331954,,,,,,
2.00E+08,FAUC,13.53,1.834,1.531,2.807854,,,,,,
2.00E+08,FAUC,13.71,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,13.76,0.262,0.691,0.181042,,,,,,
2.00E+08,FAUC,14.26,0.131,1.094,0.143314,,,,,,
2.00E+08,FAUC,14.54,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,14.57,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,14.72,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,15.04,0.131,0.288,0.037728,,,,,,
2.00E+08,FAUC,15.1,0.131,0.691,0.090521,,,,,,
2.00E+08,FAUC,15.11,0.131,0.691,0.090521,,,,,,
2.00E+08,FAUC,15.14,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,15.18,0.262,1.181,0.309422,,,,,,
2.00E+08,FAUC,15.39,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,15.45,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,15.63,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,15.77,0.131,0.518,0.067858,,,,,,
2.00E+08,FAUC,16.16,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,16.7,0.262,1.469,0.384878,,,,,,
2.00E+08,FAUC,16.74,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,16.78,0.131,0.806,0.105586,,,,,,
2.00E+08,FAUC,17.14,0.262,0.317,0.083054,,,,,,
2.00E+08,FAUC,17.42,0.262,0.864,0.226368,,,,,,
2.00E+08,FAUC,18.03,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,18.07,0.131,0.749,0.098119,,,,,,
2.00E+08,FAUC,18.09,0.262,2.074,0.543388,,,,,,
2.00E+08,FAUC,18.62,0.393,1.709,0.671637,,,,,,
2.00E+08,FAUC,18.67,0.262,0.979,0.256498,,,,,,
2.00E+08,FAUC,18.69,0.131,1.094,0.143314,,,,,,
2.00E+08,FAUC,18.69,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,18.7,0.131,0.461,0.060391,,,,,,
2.00E+08,FAUC,20.27,0.393,0.787,0.309291,,,,,,
2.00E+08,FAUC,20.31,0.262,0.461,0.120782,,,,,,
2.00E+08,FAUC,20.47,0.131,0.576,0.075456,,,,,,
2.00E+08,FAUC,20.74,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,20.74,0.131,0.346,0.045326,,,,,,
2.00E+08,FAUC,21.66,0.131,0.864,0.113184,,,,,,
2.00E+08,FAUC,22.24,0.131,0.576,0.075456,,,,,,
2.00E+08,FAUC,22.66,0.131,0.288,0.037728,,,,,,
2.00E+08,FAUC,22.99,0.131,0.346,0.045326,,,,,,
2.00E+08,SHWR,9.94,9.171,2,18.342,,,,,,
2.00E+08,SHWR,18.28,4.585,2,9.17,,,,,,
2.00E+08,SHWR,21.28,6.157,2,12.314,,,,,,
2.00E+09,BATH,21.12,2.943,3.322,9.776646,,,,,,
2.00E+09,CWSH,10.36,5,1.188,5.94,,,,,,
2.00E+09,CWSH,10.45,0.5,1.126,0.563,,,,,,
2.00E+09,CWSH,10.7,5.167,1.19,6.14873,,,,,,
2.00E+09,FAUC,0.48,0.465,0.518,0.24087,,,,,,
2.00E+09,FAUC,1.9,0.31,0.576,0.17856,,,,,,
2.00E+09,FAUC,2.45,1.239,1.008,1.248912,,,,,,
2.00E+09,FAUC,2.63,0.155,0.979,0.151745,,,,,,
2.00E+09,FAUC,3.85,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,3.89,0.155,0.403,0.062465,,,,,,
2.00E+09,FAUC,4.58,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,4.93,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,5.58,0.155,0.461,0.071455,,,,,,
2.00E+09,FAUC,6.09,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,6.73,0.155,0.461,0.071455,,,,,,
2.00E+09,FAUC,6.73,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,8.21,0.929,1.834,1.703786,,,,,,
2.00E+09,FAUC,8.62,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,8.67,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,9.03,0.929,0.989,0.918781,,,,,,
2.00E+09,FAUC,9.82,0.774,1.452,1.123848,,,,,,
2.00E+09,FAUC,9.85,0.465,0.826,0.38409,,,,,,
2.00E+09,FAUC,9.9,0.465,0.883,0.410595,,,,,,
2.00E+09,FAUC,9.96,0.774,0.611,0.472914,,,,,,
2.00E+09,FAUC,9.98,0.31,0.662,0.20522,,,,,,
2.00E+09,FAUC,9.99,0.465,1.21,0.56265,,,,,,
2.00E+09,FAUC,10.6,0.929,1.152,1.070208,,,,,,
2.00E+09,FAUC,10.61,0.155,1.152,0.17856,,,,,,
2.00E+09,FAUC,10.63,0.155,1.152,0.17856,,,,,,
2.00E+09,FAUC,10.8,0.31,0.49,0.1519,,,,,,
2.00E+09,FAUC,10.88,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,11.02,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,11.17,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,11.3,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,11.31,0.31,0.49,0.1519,,,,,,
2.00E+09,FAUC,11.88,0.155,0.576,0.08928,,,,,,
2.00E+09,FAUC,11.91,0.155,0.576,0.08928,,,,,,
